NAME,ENUMERATION,UUID,FORCE,SUPERIOR OR OVERLAY,POINTS LAT,LONG,ALT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 54,16:0:0:1:0:0:0,VRF_UUID:a6bcd380-927a-45ad-a16e-789810e56b1c,1,,29.9992182,33.0002302,19.6178681,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 91,16:0:0:1:0:0:0,VRF_UUID:acdce3d1-c7bf-4321-91a0-a1167dc1ddac,1,,30.0000093,33.0008068,21.1644297,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 44,16:0:0:1:0:0:0,VRF_UUID:adf06839-6e13-4c6e-8692-1420bb9296f9,1,,29.9993163,33.0001167,19.8534617,,,,,,,,,,,,,,,,,,,,,,,,,,,
House3,16:0:0:1:0:0:0,VRF_UUID:adfad300-33d9-4155-96a1-3acaf2b397a7,1,,29.9995706,33.0004819,9.53707147,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 59,16:0:0:1:0:0:0,VRF_UUID:af6d9fdf-8c9a-4aa0-8383-a610bbd967cf,1,,29.9996142,33.0003452,20.0040176,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 118,16:0:0:1:0:0:0,VRF_UUID:afaf7983-4990-4d44-b04f-6006912eda42,1,,30.0000106,33.0011518,33.9086986,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 77,16:0:0:1:0:0:0,VRF_UUID:afc0240a-3d58-4477-ba03-e7549c8d225c,1,,29.9996155,33.0005768,23.3680551,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 20,16:0:0:1:0:0:0,VRF_UUID:afcc2178-f56e-47fc-aec7-937636a07f55,1,,29.9999152,32.9998836,20.8448221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 32,16:0:0:1:0:0:0,VRF_UUID:b0180dec-8aa4-4ced-b351-55bda9b4afb0,1,,29.9996168,32.9999987,20.010253,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 120,16:0:0:1:0:0:0,VRF_UUID:b06db38e-2d4b-44ba-8a57-6da69aaa57b3,1,,29.9998131,33.0011518,33.8123675,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 133,16:0:0:1:0:0:0,VRF_UUID:b44fc28a-3b49-4719-aab1-b90fca47cb13,1,,29.999414,33.0012684,41.6163208,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 98,16:0:0:1:0:0:0,VRF_UUID:b65257ed-6411-4088-a7bd-c39241126f9f,1,,29.9993123,33.0008083,19.7463433,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 18,16:0:0:1:0:0:0,VRF_UUID:b68f7c76-b30f-4bc7-a820-7c0fd96ee672,1,,29.9992181,32.9997686,18.7730651,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 58,16:0:0:1:0:0:0,VRF_UUID:b6ca27f6-a5fb-4b1b-b827-71b716f009fa,1,,29.9997136,33.0003452,27.6169122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 42,16:0:0:1:0:0:0,VRF_UUID:b9e589fb-202b-4ddc-a0d9-78411b897ff4,1,,29.9995161,33.0001152,20.0044411,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 7,16:0:0:1:0:0:0,VRF_UUID:baaf5a61-d72f-48ab-81c6-6c00732050f6,1,,29.9994149,32.9996544,37.0192835,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 105,16:0:0:1:0:0:0,VRF_UUID:bf1519d9-e557-4d50-a5fd-1fb4f2d97802,1,,29.9995134,33.0009218,21.8771304,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 119,16:0:0:1:0:0:0,VRF_UUID:bf9f5580-4396-4bd0-9bbd-dfcca4ce176f,1,,29.9999125,33.0011518,33.8123888,,,,,,,,,,,,,,,,,,,,,,,,,,,
